SMILES,Hf(298K),S(298.15),C300,C400,C500,C600,C800,C1000,C1500
COO,-30.08,67.3,14.34,16.8,19.09,21.07,24.19,26.52,30.25
C=O,-26.53,52.21,8.43,9.3,10.33,11.36,13.18,14.6,16.84
O=COO,-65,68.23,15.19,17.45,19.44,21.09,23.58,25.33,27.98
O=CO,-86.52,59.5,10.99,12.88,14.57,16,18.19,19.77,22.22
OCOO,-75.12,70.26,17.39,21.09,24.2,26.67,30.25,32.75,36.66
CO,-48.03,57.26,10.46,12.21,14.12,15.9,18.85,21.16,24.96
C1CO1,-12.49,57.86,11.17,14.54,17.68,20.31,24.32,27.21,31.61
C#C,54.99,47.63,10.04,11.58,12.69,13.54,14.85,15.9,17.76
CC=O,-39.76,62.7,13.31,16.01,18.59,20.88,24.59,27.39,31.75
C=CO,-29.65,61.08,13.5,16.66,19.38,21.61,25.01,27.52,31.56
CC(=O)OO,-82.75,72.39,19.73,23.79,27.41,30.5,35.38,38.95,44.2
CC(=O)O,-103.33,68.19,15.57,19.07,22.15,24.73,28.72,31.62,36.15
C(COO)=O,-55.6,74.03,19.71,23.84,27.44,30.43,34.95,38.17,43
C=C,12.43,52.32,10.18,12.52,14.74,16.67,19.79,22.18,26.05
OCC=O,-75.91,67.42,16.27,19.73,22.86,25.53,29.67,32.67,37.26
C=COO,-8.76,71.31,16.85,20.44,23.52,26.01,29.72,32.38,36.54
CC,-20.31,54.46,12.25,15.34,18.43,21.24,25.9,29.52,35.34
OC1CO1,-57.3,68.45,15.52,19.33,22.62,25.3,29.25,32.05,36.37
CCO,-56.08,67.3,15.67,19.15,22.46,25.34,29.95,33.47,39.17
COC=O,-86.48,68.03,15.35,18.33,21.31,23.97,28.24,31.39,36.19
COC,-44.25,63.81,15.68,18.79,21.92,24.79,29.6,33.34,39.29
C=C=O,-12.03,57.65,12.26,14.07,15.53,16.73,18.63,20.08,22.41
C#CO,22.29,58.85,13.17,14.97,16.3,17.34,18.92,20.14,22.25
O=CC=O,-51.45,64.89,14.31,16.78,19.11,21.11,24,25.81,28.1
CCOO,-38.32,72.51,19.78,23.91,27.68,30.9,35.98,39.77,45.8
COCOO,-70.64,77.97,22.81,27.13,31.16,34.65,40.15,44.21,50.54
O=COCOO,-106.14,81.94,23.64,28.03,31.88,35.04,39.72,42.99,47.86
C1C(O1)C(OO),-40.94,78.7,23.16,29.47,34.97,39.46,46.12,50.79,57.8
C1C(OO)C(O1),-39.58,82.6,23.56,29.63,35.03,39.45,45.97,50.5,57.25
CC(=O)COO,-69.13,84.64,24.54,30.14,35.06,39.18,45.46,49.99,56.9
C=C(COO)O,-56.66,81.96,25.8,31.61,36.51,40.46,46.32,50.49,56.96
CC=CO,-35.45,70.21,20.38,24.38,27.88,30.85,35.55,39.13,44.93
C#CC,44.56,58.92,14.22,17.03,19.46,21.53,24.85,27.42,31.6
CC1CO1,-22.55,68.38,17.16,21.84,26.09,29.69,35.28,39.39,45.75
C=C=C,45.17,59.35,13.92,16.97,19.58,21.73,25.11,27.66,31.76
C1COC1,-18.96,65.92,15.07,20.22,25.03,29.09,35.3,39.76,46.49
C1=CC1,68.58,57.95,12.29,15.78,18.78,21.22,24.9,27.58,31.75
C=C(C)O,-40.39,68.84,19.26,23.77,27.64,30.86,35.88,39.63,45.64
C=CCO,-29.52,73.64,19.7,23.82,27.45,30.5,35.32,38.95,44.83
CCC=O,-44.5,72.93,19.83,22.95,26.28,29.38,34.57,38.57,44.87
CC(C)=O,-52.02,73.07,17.56,21.63,25.46,28.82,34.23,38.3,44.69
C=CC,4.9,63.59,15.34,19.06,22.53,25.55,30.43,34.15,40.1
C1CC1,13.54,56.64,13.22,17.97,22.19,25.68,30.97,34.83,40.9
O=C(C)OC,-99.1,76.75,20.4,24.84,29.11,32.86,38.86,43.3,50.15
C(=O)OC(=O)C(=O),-134.49,83.35,25.4,29.62,32.82,35.17,38.38,40.53,43.63
OCCC=O,-82.2,74.51,22.16,27.84,32.62,36.39,41.86,45.74,51.78
OOCC(=O)C=O,-80.49,85.92,26.55,31.64,35.99,39.58,44.94,48.69,54.2
C=CCOO,-11.92,77.2,22.54,27.41,31.8,35.48,41.1,45.18,51.5
CCC,-25.12,66.91,17.76,22.4,26.71,30.46,36.54,41.23,48.77
C=C(C)OO,-19.43,78.88,22.62,27.42,31.6,35.08,40.44,44.37,50.56
C(=O)CC(OO)O,-110.85,87.91,28.47,34.84,40.32,44.81,51.53,56.26,63.41
C#CC=O,31.66,65.46,14.96,17.32,19.25,20.84,23.3,25.12,27.91
CCC(=O)O,-108.13,78.22,22.12,26.38,30.44,33.96,39.56,43.72,50.23
CCCO,-60.99,75,21.18,26.43,31.25,35.36,41.82,46.66,54.34
CC(O)C,-65.41,74.18,21.63,26.8,31.42,35.31,41.43,46.05,53.5
